Pair_mouse,Experimental condition information,Human Gender,Condition
ERR1763305 ,356.MF.Mfec.CRON3.M2.CRONdiet.Restricted.d1,,356.MF.Mfec.CRON3.M2.CRONdiet.Restricted.d1
ERR1763306 ,357.MF.Mfec.CRON3.M2.CRONdiet.Restricted.d1.5,,357.MF.Mfec.CRON3.M2.CRONdiet.Restricted.d1.5
ERR1763307 ,358.MF.Mfec.CRON3.M2.CRONdiet.Restricted.d2; mouse gut metagenome,,358.MF.Mfec.CRON3.M2.CRONdiet.Restricted.d2; mouse gut metagenome
ERR1763308 ,359.MF.Mfec.CRON3.M2.CRONdiet.Restricted.d8; mouse gut metagenome,,359.MF.Mfec.CRON3.M2.CRONdiet.Restricted.d8; mouse gut metagenome
ERR1763310 ,360.MF.Mfec.CRON3.M2.CRONdiet.Restricted.d15; mouse gut metagenome,,360.MF.Mfec.CRON3.M2.CRONdiet.Restricted.d15; mouse gut metagenome
ERR1763311 ,361.MF.Mfec.CRON3.M2.CRONdiet.Restricted.d22,,361.MF.Mfec.CRON3.M2.CRONdiet.Restricted.d22
ERR1763312 ,362.MF.Mfec.CRON3.M2.CRONdiet.Restricted.d29,,362.MF.Mfec.CRON3.M2.CRONdiet.Restricted.d29
ERR1763313 ,363.MF.Mfec.CRON3.M2.CRONdiet.Restricted.d36; mouse gut metagenome,,363.MF.Mfec.CRON3.M2.CRONdiet.Restricted.d36; mouse gut metagenome
ERR1763314 ,364.MF.Mfec.CRON3.M2.CRONdiet.Restricted.d48; mouse gut metagenome,,364.MF.Mfec.CRON3.M2.CRONdiet.Restricted.d48; mouse gut metagenome
ERR1763315 ,365.MF.Mfec.CRON3.M2.CRONdiet.Restricted.d54,,365.MF.Mfec.CRON3.M2.CRONdiet.Restricted.d54
ERR1763316 ,366.MF.Mfec.CRON3.M2.CRONdiet.Restricted.d55; mouse gut metagenome,,366.MF.Mfec.CRON3.M2.CRONdiet.Restricted.d55; mouse gut metagenome
